Age,Birthplace,Degree,GADT_Cat,GAD_T,Game,Gender,Hours,League_clean,Narcissism,Narcissism_Cat,Platform,Playstyle_clean,Residence,SPINT_Cat,SPIN_T,SWLT_Cat,SWL_T,Work,earnings_clean,whyplay_clean
25,USA,Bachelor (or equivalent),minimal anxiety,0,League of Legends,Male,25.0,gold,1.0,Not Very True of me,PC,Multiplayer - online - with real life friends,USA,None,3.0,Extremely satisfied,33,Employed,Fun,fun
36,Romania,Bachelor (or equivalent),mild anxiety,5,League of Legends,Male,5.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,Romania,Moderate,31.0,Satisfied,26,Employed,Fun,fun
23,UK,High school diploma (or equivalent),minimal anxiety,0,League of Legends,Female,9.0,silver,4.0,Mostly True of me,PC,Multiplayer - online - with real life friends,UK,Moderate,39.0,Satisfied,26,Employed,Fun,improving
25,USA,Master (or equivalent),minimal anxiety,1,League of Legends,Male,7.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with strangers,USA,Mild,29.0,Slightly satisfied,21,Student at college / university,Fun,fun
18,USA,High school diploma (or equivalent),moderate anxiety,11,League of Legends,Male,25.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with strangers,USA,None,17.0,dissatisfied,10,Student at college / university,Fun,improving
28,UK,Bachelor (or equivalent),minimal anxiety,1,League of Legends,Male,10.0,unranked,3.0,Moderately True of me,PC,Multiplayer - online - with real life friends,UK,None,11.0,dissatisfied,13,Unemployed / between jobs,Fun,fun
18,Latvia,High school diploma (or equivalent),severe anxiety,19,League of Legends,Male,25.0,unranked,5.0,Very True of me,PC,Multiplayer - online - with real life friends,Latvia,Severe,47.0,Satisfied,29,Student at school,Fun,improving
19,Australia,High school diploma (or equivalent),mild anxiety,8,League of Legends,Male,20.0,gold,2.0,Somewhat True of me,PC,Multiplayer - online - with real life friends,Australia,Mild,25.0,Slightly dissatisfied,17,Student at college / university,Fun,improving
21,USA,High school diploma (or equivalent),severe anxiety,21,League of Legends,Male,40.0,unranked,4.0,Mostly True of me,PC,Multiplayer - online - with online acquaintances or teammates,USA,Severe,45.0,dissatisfied,12,Student at school,Fun,winning
20,USA,High school diploma (or equivalent),severe anxiety,18,League of Legends,Female,10.0,unranked,1.0,Not Very True of me,PC,Multiplayer - online - with strangers,USA,Mild,30.0,Slightly dissatisfied,15,Employed,Fun,improving
